link_anuncio;titulo;preco;vendedor;avaliacao_nota;avaliacao_numero;descricao
https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072;Kit Cartucho Hp 664 Preto E Hp 664 Colorido;R$ 153,10;OBERO INFORMATICA;4.7;3086;Descrição KIT DE CARTUCHOS DE TINTA HP ORIGINAL 664 PRETO E COLORIDO 1 Cartucho HP 664 preto + 1 Cartucho HP 664 Color ESPECIFICAÇÕES: - Desempenho: Até 120 páginas - Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP Deskjet 2674 HP Deskjet 2675 HP Deskjet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet Ink Advantage 3836 HP Deskjet Ink Advantage 4536 HP Deskjet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 - Cor: Preto - Tipo de Desempenho: Padrão - Conteúdo da Embalagem: Cartucho novo de tinta HP original CARACTERÍSTICAS DO PRODUTO: Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores.
https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629;Cartucho de tinta preta HP Advantage 664 de 2 ml;R$ 64,90;OBERO INFORMATICA;4.7;3086;Descrição Imprima documentos do dia a dia com alta qualidade e a um preço acessível com cartuchos de tinta HP de baixo custo, projetados com proteção contra fraudes e alertas inteligentes de pouca tinta para oferecer desempenho sem preocupações e resultados consistentes com os quais você pode contar. Impressão de cores consumíveis: Preto Gota de tinta: 22 pl Tipos de tinta: à base de pigmento - Rendimento de páginas (preto e branco): 120 páginas - Faixa de temperatura operacional de 15 a 32°C - Temperatura de armazenamento: limites -40 a 60°C - Umidade durante o armazenamento De 20 a 80% UR Impressoras compatíveis: HP DeskJet 1110, HP DeskJet 1115, HP DeskJet 2130, HP DeskJet 2135, HP DeskJet 3630, HP ENVY 4520, HP OfficeJet 3830
https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-negro-y-664-tricolor-2-unidades/p/MLB36783881;Cartucho De Tinta Hp 664 Negro y 664 Tricolor 2 Unidades;R$ 153,10;OBERO INFORMATICA;4.6;267;"Descrição Kit de cartuchos de tinta HP original 664 preto e colorido 1 cartucho HP 664 preto + 1 cartucho HP 664 color Especificações: Desempenho: até 120 páginas Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP DeskJet 2674 HP DeskJet 2675 HP DeskJet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP DeskJet Ink Advantage 3776 HP DeskJet Ink Advantage 3786 HP DeskJet Ink Advantage 3788 HP DeskJet Ink Advantage 3790 HP DeskJet Ink Advantage 3836 HP DeskJet Ink Advantage 4536 HP DeskJet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 Cor: preto Tipo de desempenho: padrão Conteúdo da embalagem: cartucho novo de tinta HP original Características do produto: Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando cartuchos originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. Diferenciadores: Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. Compatível com impressoras Deskjet Ink Advantage da HP: DESKJET INK ADVANTAGE 2376; DESKJET INK ADVANTAGE 2776; DESKJET INK ADVANTAGE 2775; DESKJET INK ADVANTAGE 2374; DESKJET INK ADVANTAGE 2375; DESKJET INK ADVANTAGE 1275; HP Deskjet Ink Advantage Plus 6475; HP Deskjet Ink Advantage Plus 6476."
https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444;Cartucho de Tinta HP 122 Preto;R$ 102,19;OBERO INFORMATICA;4.8;106;"Descrição Cartucho de Tinta HP 122 Preto Original CH561HB - Não recarregável Os cartuchos foram projetados para garantir que sua impressora forneça textos nítidos e com cores intensas. A impressão é fácil e o valor é excelente. Fácil de usar, com a tecnologia que permite terminar a impressão de um documento importante mesmo quando os níveis de uma cor específica estão baixos. Mais valor para altos volumes com cartuchos de tinta XL (opcionais.) ESPECIFICAÇÕES TÉCNICAS: - QUANTIDADE DE TINTA: 2 ML - DESEMPENHO: 120 páginas - COR: Preto COMPATIBILIDADE: - Impressora HP Deskjet 1000 - J110a; Impressora HP Deskjet 2000 - J210a; Impressora HP Deskjet 2050 Multifuncional - J510a; Multifuncional HP Deskjet 3050 J610a DIFERENCIAIS: - Impressões que funcionam todas as vezes. Cartuchos projetados para alto desempenho. - Impressões resistentes à água e que não desbotam com o tempo. - Cores mais intensas e nítidas. Com Tecnologia anti curvas. - Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. - Impressão responsável, os cartuchos são feitos com até 50% de material reciclado."
https://www.mercadolivre.com.br/kit-cartucho-hp-938-p-9110-9130-9730/p/MLB41877220;Kit Cartucho Hp 938 P/ 9110 9130 9730;R$ 845,50;INK LASER INFO;4.4;16;
https://produto.mercadolivre.com.br/MLB-2685036387-kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774-_JM;Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774;R$ 154,90;OBERO INFORMATICA;4.7;3657;Descrição ***REVENDEDOR OFICIAL HP BRASIL*** Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. - Volume de páginas impressas: até 100 páginas - Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento - Impressões resistentes à água e que não desbotam com o tempo - Cores mais vibrantes e nítidas. Com Tecnologia anti curvas - Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade - Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas - Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado Compatibilidade Serie Deskjet Ink Advantage 2300 - Deskjet Ink Advantage 2374 - Deskjet Ink Advantage 2375 - Deskjet Ink Advantage 2376 Serie Deskjet Ink Advantage 2700 - Deskjet Ink Advantage 2774 - Deskjet Ink Advantage 2775 - Deskjet Ink Advantage 2776 - Deskjet Ink Advantage 2777 - Deskjet Ink Advantage 2874 Serie DeskJet Plus Ink Advantage série 6000 Serie DeskJet Plus Ink Advantage série 6400 Serie Deskjet Ink Advantage 1200 Serie DeskJet Ink Advantage 4100 Kit 1 (um) Cartucho de Tinta HP 667 3YM79AL Original Preto / 2ml 1 (um) Cartucho de Tinta HP 667 3YM78AL Original Colorido / 2ml Ver descrição completa
https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214;Cartucho De Tinta 712 Preto 80ml Hp T210 T250 T650;R$ 419,00;OBERO INFORMATICA;4.8;44;Descrição Características do Produto Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. Especificações Cartucho HP Cor: Preto Impressoras Compatíveis Impressora HP DesignJet Studio de 24 polegadas 5HB12A Impressora HP DesignJet Studio de 36 polegadas 5HB14A Impressora HP DesignJet Studio Steel de 24 polegadas 5HB12C Impressora HP DesignJet Studio Steel de 36 polegadas 5HB14C Impressora HP DesignJet T210 24 polegadas 8AG32A Impressora HP DesignJet T250 24 polegadas 5HB06A Impressora HP DesignJet T650 24 polegadas 5HB08A Impressora HP DesignJet T650 24 polegadas 5HB08G Impressora HP DesignJet T650 36 polegadas 5HB10A Diferenciais Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado.
https://www.mercadolivre.com.br/cartucho-hp-662xl-preto-1616-2516-2646-3516-4646/p/MLB36766826;Cartucho Hp 662xl Preto 1616 2516 2646 3516 4646;R$ 112,31;Carrefour;4.4;101;Descrição CARTUCHO HP 662XL CZ105AB PRETO 6,5ml Compatibilidade: Hp DeskJet Ink Advantage 1516, 2515, 2516, 2546, 2646, 3515, 3516, 3546 e 4646 Características do Produto: Modelo: 662XL CZ105AB DESEMPENHO: 662XL PRETO - ATÉ 360 PÁGINAS (com base na cobertura de 5% da página) Temperaturas: Gama de temperaturas de funcionamento: 15 a 32 °C Cor de gráfico de BCP: Preto Tecnologia de resolução: TIJ 2.X Gen 3 Tecnologia de impressão: Jato de Tinta Térmico HP Bocais da cabeça de impressão: 336 Largura de cabeça de impressão (polegadas): 0,56 pol Tipos de tinta: Com pigmentos Gota de tinta: 13,5 pl Cor da impressão: preto Volume do cartucho de impressão: 6,5 ml Informação ambiental: Umidades relativas Umidade de armazenamento: 20 a 80% RH Intervalo de umidade para funcionamento: 20 a 80% RH Amplitude Térmica de Armazenamento: -40 a 60°C Dimensões Aproximadas (L x P x A): Dimensões de palete: 1219,2 x 1016 x 1790,7 mm Dimensões mínimas: 114,05 x 36,32 x 114,55 mm Peso Líquido Aproximado: 0.04 kg
https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313;Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color;R$ 161,64;CASAPRINT SPEED;4.7;3086;Descrição Neste anúncio tem: 01 Cartucho de Tinta HP 664 Colorido Advantage 01 Cartucho de Tinta HP 664 Preto Advantage CARACTERISTICAS: Os cartuchos de tinta HP oferecem qualidade excepcional e desempenho confiável para suas necessidades de impressão. Com tintas de alta qualidade, eles proporcionam impressões nítidas, cores vibrantes e texto claro. Além disso, a identificação inteligente dos cartuchos permite que a impressora reconheça automaticamente os níveis de tinta, fornecendo alertas precisos quando estiverem baixos. A instalação é fácil e rápida, e os cartuchos são compatíveis com as impressoras HP, garantindo resultados profissionais em todos os trabalhos de impressão. A preocupação da HP com a sustentabilidade também se reflete nos programas de reciclagem de cartuchos, ajudando a reduzir o impacto ambiental dos resíduos de impressão. Com os cartuchos de tinta HP, você tem qualidade, confiabilidade e facilidade de uso em uma solução de impressão completa. VERIFIQUE AS CARACTERÍSTICAS HOLOGRÁFICAS DAS ETIQUETAS: - Incline a caixa de frente para trás para ver o Hp ou “OK” se moverem em sentidos OPOSTOS. - Incline a caixa da esquerda para direita para ver o Hp ou o “OK” se moverem no MESMO sentido. VERIFIQUE POR CÓDIGO QR: - Basta fazer a leitura do código QR da etiqueta com seu smartphone para verificar o produto. COMPATIBILIDADE: HP DeskJet 1110, HP DeskJet 1115, HP DeskJet 2130, HP DeskJet 2135, HP DeskJet 3630, HP ENVY 4520, HP OfficeJet 3830 ESPECIFICAÇÕES DE IMPRESSÃO: Cor (Es) Dos Suprimentos De Impressão: Tricolor e Preto Dimensões Com Embalagem L X P X A: 114 x 36,3 x 102,9 mm (cada) Peso Com Embalagem: 0.05 kg (cada) Volume Do Cartucho De Impressão: 2 ml (cada) Rendimento: TRICOLOR: Aproximadamente 100 páginas PRETO: Aproximadamente 120 páginas
https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579;Cartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a Wespetec;R$ 229,00;OBERO INFORMATICA;5.0;11;Descrição Características do Produto Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e custos de impressão acessíveis. Imprima bordas perfeitas em textos e em gráficos. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste da HP e impressão contínua. O desempenho varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. Especificações Cartucho HP Cor: Amarelo Impressoras Compatíveis Impressora HP DesignJet Studio de 24 polegadas 5HB12A Impressora HP DesignJet Studio de 36 polegadas 5HB14A Impressora HP DesignJet Studio Steel de 24 polegadas 5HB12C Impressora HP DesignJet Studio Steel de 36 polegadas 5HB14C Impressora HP DesignJet T210 24 polegadas 8AG32A Impressora HP DesignJet T250 24 polegadas 5HB06A Impressora HP DesignJet T650 24 polegadas 5HB08A Impressora HP DesignJet T650 24 polegadas 5HB08G Impressora HP DesignJet T650 36 polegadas 5HB10A Diferenciais Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos da HP são feitos com até 50% de material reciclado.
